provider	repository	revision	source-archive-sha256	license	language	package-boundary	calculus	cubical-capability	agda-internal-adapter	selection-role	disposition
cctt	https://github.com/AndrasKovacs/cctt	ba16f3758a322e9be77ada1da2b93f45d500192e	8d83adcb45ea827583f02fb6fb5c7d023ae97fdf6dd7816e9069ee45c67b6b5d	MIT	Haskell	executable-only	own-cartesian-cubical-core	yes	no	preferred-algorithm-reference	requires-new-agda-adapter
cooltt	https://github.com/RedPRL/cooltt	b39bf29900451cb43ae6fbd9af5aa33d59e18935	8eb7310ea7b56211fb079228f931d463c842f7e4d51f78e055386274e083533a	Apache-2.0	OCaml	executable-only	own-cartesian-cubical-core	yes	no	alternative-reference	requires-language-and-syntax-boundary
cubicaltt	https://github.com/mortberg/cubicaltt	9baa6f2491cc61dbd4fd81d58323c04100381451	00feff30d9a779d27e858ceaea767fc670dcd4138f01beeb1e58a09d6ea7a1e4	MIT	Haskell	executable-only	own-cubical-core	yes	no	alternative-reference	requires-new-agda-adapter
smalltt	https://github.com/AndrasKovacs/smalltt	ea99b0f478e50dcb81ea19e40bfb4262339b22aa	5236274f0f359d8dd2ea88d2a11c8ea869bbd1333de396f0f14eb4f861a48fe0	MIT	Haskell	library-and-executable	own-dependent-core	no	no	noncubical-reference	not-a-cubical-provider
