package	version	repository	revision
nucleo,nucleo-matcher	0.5.0,0.3.1	https://github.com/helix-editor/nucleo.git	4253de9faabb4e5c6d81d946a5e35a90f87347ee
runfiles	0.1.0	https://github.com/dzbarsky/rules_rust	b56cbaa8465e74127f1ea216f813cd377295ad81
crossterm	0.28.1	https://github.com/nornagon/crossterm	87db8bfa6dc99427fd3b071681b07fc31c6ce995
ratatui	0.29.0	https://github.com/nornagon/ratatui	9b2ad1298408c45918ee9f8241a6f95498cdbed2
tokio-tungstenite	0.28.0	https://github.com/openai-oss-forks/tokio-tungstenite	0e5b2d73aa18dd9f0a50ee9ff199d5aef7594186
tungstenite	0.27.0	https://github.com/openai-oss-forks/tungstenite-rs	4fffad30fe373adbdcffab9545e9e9bf4f2fc19f
libwebrtc,livekit-protocol,livekit-runtime,webrtc-sys,webrtc-sys-build	0.3.26,0.7.1,0.4.0,0.3.24,0.3.13	https://github.com/juberti-oai/rust-sdks.git	e2d1d1d230c6fc9df171ccb181423f957bb3c1f0
